seller-sku,item-name,price,merchant-shipping-group,status
AMZ001,Wireless Bluetooth Headphones,29.99,Standard,active
AMZ002,USB-C Charging Cable,12.99,Standard,active
AMZ003,Portable Phone Stand,8.99,Standard,active
AMZ004,Bluetooth Speaker,45.99,Premium,active
AMZ005,Phone Case - Clear,6.99,Standard,active
AMZ006,Screen Protector - Glass,4.99,Standard,active
AMZ007,Car Phone Mount,15.99,Standard,active
AMZ008,Wireless Charger Pad,24.99,Standard,active
AMZ009,Power Bank 10000mAh,35.99,Premium,active
AMZ010,Lightning Cable,9.99,Standard,active
AMZ011,Earbuds - Wired,7.99,Standard,active
AMZ012,Phone Ring Holder,3.99,Standard,active
AMZ013,Laptop Stand,39.99,Premium,active
AMZ014,USB Hub 4-Port,18.99,Standard,active
AMZ015,Webcam HD 1080p,55.99,Premium,active
AMZ016,Keyboard Wireless,42.99,Premium,active
AMZ017,Mouse Pad Large,14.99,Standard,active
AMZ018,Cable Organizer,5.99,Standard,active
AMZ019,Desk Lamp LED,28.99,Standard,active
AMZ020,Monitor Stand,33.99,Premium,active
