(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B,conversion_rate,aov
B0D9MCDR3T,B0D9M9J2JY,Oatly Oat Drink Barista Edition 1L | Suitable for vegetarians | (3 Packs),ALP31A - 006,344.0,8,0.19,0.17,402.0,9,0.17,0.14,80.59,57.14,1,0,0.29,0.0,11.99,£0.00,1,0,0.29,11.99
B0DFVLC2J7,B01CMIGQ6Y,"Fentimans Mandarin and Seville Orange Jigger - Natural Botanically Brewed Orange Drink - Perfect Mixer - Low Calorie, Gluten-Free and Vegan Soft Drinks - 12 x 275ml",FENTIM007 - 002,356.0,8,0.2,0.17,428.0,8,0.19,0.12,0.0,0.0,1,1,0.28,12.5,22.59,£22.59,1,1,0.28,22.59
B00AZL7UES,B00AZL7UES,Cadbury Instant Hot Chocolate Sachets 28 g (Pack of 50),HOT19 Prime,372.0,53,0.21,1.15,439.0,61,0.19,0.95,0.0,0.0,1,0,0.27,0.0,27.51,£0.00,1,0,0.27,27.51
B07TLDK9XJ,B008SAUDEM,Yutaka Wasabi Peas 2kg | Crunchy Japanese Snack with Spicy Wasabi Kick – Gluten-Free,BAR04A - 001 uk shipping,371.0,11,0.21,0.24,514.0,16,0.22,0.25,15.64,0.0,1,0,0.27,0.0,18.57,£0.00,1,0,0.27,18.57
B0CRY8TNFH,B07K91GYJG,New Fermipan Instant Red Dried Yeast 500g,BAK01 - 008 Prime,402.0,6,0.22,0.13,546.0,6,0.24,0.09,0.82,0.0,1,0,0.25,0.0,7.86,£0.00,1,0,0.25,7.86
B0CRY8TNFH,B07K91GYJG,New Fermipan Instant Red Dried Yeast 500g,BAK01 - 005,402.0,6,0.22,0.13,546.0,6,0.24,0.09,0.82,0.0,1,0,0.25,0.0,7.24,£0.00,1,0,0.25,7.24
B01B6G5D58,B01B6G5D58,"Callebaut, Milk, Dark & White chocolate chips (3 x 1kg Bundle)",BUNDLE001 - 002,429.0,7,0.24,0.15,621.0,18,0.27,0.28,1.82,0.0,1,0,0.23,0.0,64.7,£0.00,1,0,0.23,64.7
B0CBLYF4Y3,B07CYZZNDR,"Callebaut N° W2 Finest 28% Belgian White Chocolate Couverture (Callets), 400 g",CAL04B - 002,536.0,5,0.3,0.11,719.0,9,0.31,0.14,0.46,0.0,1,0,0.19,0.0,14.36,£0.00,1,0,0.19,14.36
B0BW39RBFN,B001QJCRUK,"FAIRY PX03351 Original Hand Dish Washing Liquid, 5 L",CLE01B - 008,539.0,37,0.3,0.8,695.0,44,0.3,0.69,0.0,0.0,1,0,0.19,0.0,20.69,£0.00,1,0,0.19,20.69
B005R05XAA,B005R05XAA,"Weetabix, Breakfast, Packed with Fibre, High in Vitamin D, Source of Iron, 96 Portions of 1 Biscuit (18g)",CER21A - 001,555.0,18,0.31,0.39,666.0,20,0.29,0.31,1.1,0.0,1,0,0.18,0.0,28.25,£0.00,1,0,0.18,28.25
B0051GN3MK,B0051GN3MK,Cafe Maid Luxury Coffee Creamer Pots 12 ml (Pack of 120),UHT02C - 002,629.0,15,0.35,0.32,877.0,23,0.38,0.36,0.13,0.0,1,0,0.16,0.0,14.8,£0.00,1,0,0.16,14.8
B0DJ9H9V2P,B00XVJIWOS,Walkers Quavers Cheese Snacks Crisps 20g (Pack of 32),BAR80 - 001 Prime,737.0,118,0.41,2.55,,216,0.46,3.37,0.0,0.0,1,0,0.14,0.0,31.65,£0.00,1,0,0.14,31.65
B077B43VDF,B077B43VDF,Kerrymaid Whipping UHT 1L,UHT03 - 002 Prime,771.0,11,0.43,0.24,,13,0.49,0.2,0.21,0.0,1,0,0.13,0.0,8.21,£0.00,1,0,0.13,8.21
B0CH1LNQ4Y,B00DI4ZS2A,"MONIN Premium Tiramisu Syrup 700ml for Coffee, Baking and Cocktails. Vegan-Friendly, Allergen-Free, 100% Natural Flavours and Colourings",MONINS21,861.0,12,0.48,0.26,,15,0.49,0.23,0.49,0.0,1,0,0.12,0.0,13.68,£0.00,1,0,0.12,13.68
B0DFVLC2J7,B004CVF526,Fentimans Traditional Victorian Lemonade - Botanically Brewed Lemonade with Lemon Juice - Exquisitely Crafted & Refreshing Soft Drinks - Gluten-Free and Vegan Friendly Soft Drinks - 12 x 275ml Bottles,FENTIM010 - 001 Prime,946.0,25,0.53,0.54,,38,0.5,0.59,0.0,0.0,1,1,0.11,4.0,22.92,£22.92,1,1,0.11,22.92
